count	player_id	name	author	released	reference
10738	DMC	Demo Music Creator System (DMC)	Balazs Farkas (Brian)	1991	https://csdb.dk/release/?id=2598
7550	GoatTracker_V2.x		Lasse Öörni (Cadaver)	2005 Covert Bitops	https://csdb.dk/release/?id=18308
6403	Music_Assembler		Marco Swagerman (MC) & Oscar Giesen (OPM)	1989 The Dutch USA-Team	https://csdb.dk/release/?id=94388
4085	MoN/FutureComposer		Charles Deenen made the player & Juha Granberg (FCS) made the editor		https://csdb.dk/release/?id=10604
3678	JCH_NewPlayer		Jens-Christian Huus (JCH)		https://csdb.dk/release/?id=14037
3663	Soundmonitor		Chris Hülsbeck	1986 64'er/Markt & Technik	https://csdb.dk/release/?id=59929
1384	GoatTracker_V1.x		Lasse Öörni (Cadaver)	2001 Covert Bitops	https://csdb.dk/release/?id=152697
1170	HardTrack_Composer		Milosz Ignatowski (Longhair)		https://csdb.dk/release/?id=74928
1075	Master_Composer	Master Composer	Paul Kleimeyer	1983 Access Software Inc.	https://csdb.dk/release/?id=128699
1074	Hermit/SidWizard_V1.x		Mihály Horváth (Hermit)		
994	Geir_Tjelta/SIDDuzz'It	SID Duzz'It (SDI)	Geir Tjelta & Glenn Rune Gallefoss (GRG)	1992	https://csdb.dk/release/?id=7175
950	SoedeSoft		Jeroen Soede & Michiel Soede	1988 Soedesoft	https://csdb.dk/release/?id=117095
680	Digitalizer_V2.x		Olav Mørkrid	1989	https://csdb.dk/release/?id=33646
593	RoMuzak_V6.x		Oliver Blasnik (ROM)	1989 Digital Marketing	https://csdb.dk/release/?id=17814
522	Basic_Program				
446	GMC/Superiors	Game Music Creator System	Balazs Farkas (Brian)	1990	https://csdb.dk/release/?id=7268
387	X-Ample				
380	SidFactory_II/Laxity		Thomas Egeskov Petersen (Laxity)	2020	https://csdb.dk/release/?id=210571
314	Loadstar_SongSmith	Songsmith		Loadstar	https://csdb.dk/release/?id=122855
314	Laxity_NewPlayer_V21		Thomas Egeskov Petersen (Laxity)	2006	https://csdb.dk/release/?id=26563
306	CheeseCutter_2.x		Timo Taipalus (Abaddon)	2011	https://csdb.dk/release/?id=106959
301	Electrosound			1985 Orpheus	https://csdb.dk/release/?id=27433
293	Ubik's_Musik	Ubik's Musik	Dave Korn (Ubik)	1987 Firebird	https://csdb.dk/release/?id=39950
289	Rob_Hubbard		Rob Hubbard		
269	TFX		Ray	1995 Unreal	https://csdb.dk/release/?id=110111
264	SidTracker64		Daniel Larsson (Pernod)	2015	
246	AMP	Advanced Music Programmer	Andrew Miller (Burton)	1989 Hitech Studio Designs	https://csdb.dk/release/?id=35519
245	DefleMask_v12		Leonardo Demartino (Delek)	2016	https://www.deflemask.com/
245	20CC		Falco Paul		https://csdb.dk/release/?id=10741
197	EMS/Odie		Sean Connolly (Odie)		
197	Cyberlogic_SoundStudio	Cyberlogic Sound Studio	Oliver Klee & Sascha Nagie	1991	https://csdb.dk/release/?id=170632
192	Jeff	Music Editor	Søren Lund (Jeff)	1996 Cyberzound Productions	https://csdb.dk/release/?id=122334
184	John_Player		Aleksi Eeben	2001 Aleksi Eeben	
182	MusicShop	The Music Shop	Don Williams	1984 Brøderbund Software	https://csdb.dk/release/?id=82453
179	Vibrants/Laxity	LAXITY editor	Thomas Egeskov Petersen (Laxity)		https://csdb.dk/release/?id=122333
163	OdinTracker		Zoltán Konyha (Zed)	2000	https://csdb.dk/release/?id=12577
148	Ariston		Ian Crabtree		
140	MoN/Deenen		Charles Deenen		
137	Reflextracker		Tammo Hinrichs (kb) & Matthias Kramm (Quiss) & Zorc		https://csdb.dk/release/?id=43348
134	LordsOfSonics/MS		Markus Schneider		
131	Prosonix	Prosonix Music Editor	Stein Pedersen	1988 Prosonix	https://csdb.dk/release/?id=179618
130	CyberTracker_exe			2001	https://csdb.dk/release/?id=6663
130	Vibrants/JO		Poul-Jesper Olsen (JO)		
128	CyberTracker		Bjarke Nørgaard Laustsen (CyberBrain)	2001	https://csdb.dk/release/?id=2601
117	David_Whittaker				
117	SidWinder		Balázs Takács (Taki)	1999 Natural Beat	https://csdb.dk/release/?id=66494
108	SynC	SYNdrom Composer	Matthias Hartung (The Syndrom)		https://csdb.dk/release/?id=7850
107	DefMon		Mats (Frantic of Hack'n'Trade)	2013	https://csdb.dk/release/?id=120965
104	System6581		Fredrik Hederstierna (Zizyphus)		https://csdb.dk/release/?id=27434
102	Michael_Winterberg	Speedi System	Michael Winterberg		
102	Walt/Bonzai		Anders Fogh (Walt)	1990 Bonzai	https://csdb.dk/release/?id=12580
99	Audial_Arts	Zong Player	François Prijt	Audial Arts	
99	Chubrocker_V3.x		László Benke (Dec)	1995 Cadgers	https://csdb.dk/release/?id=114185
97	NinjaTracker_V2.x		Lasse Öörni (Cadaver)	2006 Covert Bitops	https://csdb.dk/release/?id=39374
94	JCH_Protracker		Jens-Christian Huus (JCH)		
94	TBB/SideB		Tero Hilpinen (TBB)		
92	Sosperec		Gabor Torday (Grabowsky)	1991	https://csdb.dk/release/?id=18233
91	Guy_Shavitt				
88	Antony_Crowther_V3		Antony Crowther		
84	Digitalizer_V3.0		Olav Mørkrid	1992	https://csdb.dk/release/?id=33649
78	MoN/Bjerregaard		Johannes Bjerregaard		
78	SoundMaker	Sound-Maker	Pleite Geier	United Artists	
