count	player_id	category	name	author	released	reference	source_url	source_type	language	source_note
10738	DMC	binary-only	Demo Music Creator System (DMC)	Balazs Farkas (Brian)	1991	https://csdb.dk/release/?id=2598				
7550	GoatTracker_V2.x	source		Lasse Öörni (Cadaver)	2005 Covert Bitops	https://csdb.dk/release/?id=18308	https://sourceforge.net/projects/goattracker2/	sourceforge	C + 6502 asm	Official (Cadaver/Covert Bitops), GPLv2, maintained. .sng read/write in Python via ChiptuneSAK.
6403	Music_Assembler	binary-only		Marco Swagerman (MC) & Oscar Giesen (OPM)	1989 The Dutch USA-Team	https://csdb.dk/release/?id=94388				
4085	MoN/FutureComposer	source		Charles Deenen made the player & Juha Granberg (FCS) made the editor		https://csdb.dk/release/?id=10604	https://github.com/realdmx/c64_6581_sid_players	git-repo (reverse-eng)	6502 asm (ACME)	Editor is binary-only (csdb id=10604); repo has RE source for the underlying Deenen MON driver.
3678	JCH_NewPlayer	binary-only		Jens-Christian Huus (JCH)		https://csdb.dk/release/?id=14037				
3663	Soundmonitor	magazine		Chris Hülsbeck	1986 64'er/Markt & Technik	https://csdb.dk/release/?id=59929		magazine-listing		64'er magazine, Oct 1986 type-in listing (binary at csdb id=59929 / archive.org)
1384	GoatTracker_V1.x	source		Lasse Öörni (Cadaver)	2001 Covert Bitops	https://csdb.dk/release/?id=152697	https://sourceforge.net/projects/goattracker2/	sourceforge	C + 6502 asm	Same SF project (v1 history).
1170	HardTrack_Composer	binary-only		Milosz Ignatowski (Longhair)		https://csdb.dk/release/?id=74928				
1075	Master_Composer	binary-only	Master Composer	Paul Kleimeyer	1983 Access Software Inc.	https://csdb.dk/release/?id=128699				
1074	Hermit/SidWizard_V1.x	source		Mihály Horváth (Hermit)			https://sourceforge.net/projects/sid-wizard/	sourceforge	6502 asm (64tass) + C	Source in SF release zips. Fork w/ source: github.com/anarkiwi/sid-wizard. Python port: pysidwizard.
994	Geir_Tjelta/SIDDuzz'It	binary-only	SID Duzz'It (SDI)	Geir Tjelta & Glenn Rune Gallefoss (GRG)	1992	https://csdb.dk/release/?id=7175				
950	SoedeSoft	binary-only		Jeroen Soede & Michiel Soede	1988 Soedesoft	https://csdb.dk/release/?id=117095				
680	Digitalizer_V2.x	binary-only		Olav Mørkrid	1989	https://csdb.dk/release/?id=33646				
593	RoMuzak_V6.x	binary-only		Oliver Blasnik (ROM)	1989 Digital Marketing	https://csdb.dk/release/?id=17814				
522	Basic_Program	binary-only								
446	GMC/Superiors	binary-only	Game Music Creator System	Balazs Farkas (Brian)	1990	https://csdb.dk/release/?id=7268				
387	X-Ample	binary-only								
380	SidFactory_II/Laxity	source		Thomas Egeskov Petersen (Laxity)	2020	https://csdb.dk/release/?id=210571	https://github.com/Chordian/sidfactory2	git-repo	C++ (reSID) + 6502 asm	Official repo (Laxity/JCH/Chordian), actively maintained.
314	Loadstar_SongSmith	binary-only	Songsmith		Loadstar	https://csdb.dk/release/?id=122855				
314	Laxity_NewPlayer_V21	binary-only		Thomas Egeskov Petersen (Laxity)	2006	https://csdb.dk/release/?id=26563				
306	CheeseCutter_2.x	source		Timo Taipalus (Abaddon)	2011	https://csdb.dk/release/?id=106959	https://github.com/theyamo/CheeseCutter	git-repo	D + ACME 6502 asm	Official repo (Abaddon/theyamo), GPL.
301	Electrosound	binary-only			1985 Orpheus	https://csdb.dk/release/?id=27433				
293	Ubik's_Musik	binary-only	Ubik's Musik	Dave Korn (Ubik)	1987 Firebird	https://csdb.dk/release/?id=39950				
289	Rob_Hubbard	reverse-eng		Rob Hubbard			https://github.com/realdmx/c64_6581_sid_players/tree/master/Hubbard_Rob	git-repo (reverse-eng)	6502 asm (ACME)	RE driver source by composer
269	TFX	binary-only		Ray	1995 Unreal	https://csdb.dk/release/?id=110111				
264	SidTracker64	commercial		Daniel Larsson (Pernod)	2015			commercial-closed		proprietary, no public source
246	AMP	binary-only	Advanced Music Programmer	Andrew Miller (Burton)	1989 Hitech Studio Designs	https://csdb.dk/release/?id=35519				
245	DefleMask_v12	commercial		Leonardo Demartino (Delek)	2016	https://www.deflemask.com/		commercial-closed		proprietary, no public source
245	20CC	binary-only		Falco Paul		https://csdb.dk/release/?id=10741				
197	EMS/Odie	binary-only		Sean Connolly (Odie)						
197	Cyberlogic_SoundStudio	binary-only	Cyberlogic Sound Studio	Oliver Klee & Sascha Nagie	1991	https://csdb.dk/release/?id=170632				
192	Jeff	binary-only	Music Editor	Søren Lund (Jeff)	1996 Cyberzound Productions	https://csdb.dk/release/?id=122334				
184	John_Player	binary-only		Aleksi Eeben	2001 Aleksi Eeben					
182	MusicShop	binary-only	The Music Shop	Don Williams	1984 Brøderbund Software	https://csdb.dk/release/?id=82453				
179	Vibrants/Laxity	binary-only	LAXITY editor	Thomas Egeskov Petersen (Laxity)		https://csdb.dk/release/?id=122333				
163	OdinTracker	source		Zoltán Konyha (Zed)	2000	https://csdb.dk/release/?id=12577	https://www.zimmers.net/anonftp/pub/cbm/c64/audio/editors/OdinTracker113src.zip	author-site	6502 asm	Full source zip (Zed, 2001) on zimmers CBM archive.
148	Ariston	binary-only		Ian Crabtree						
140	MoN/Deenen	source		Charles Deenen			https://github.com/realdmx/c64_6581_sid_players	git-repo (reverse-eng)	6502 asm (ACME)	RE source: Deenen_Charles_MON.
137	Reflextracker	binary-only		Tammo Hinrichs (kb) & Matthias Kramm (Quiss) & Zorc		https://csdb.dk/release/?id=43348				
134	LordsOfSonics/MS	binary-only		Markus Schneider						
131	Prosonix	binary-only	Prosonix Music Editor	Stein Pedersen	1988 Prosonix	https://csdb.dk/release/?id=179618				
130	CyberTracker_exe	binary-only			2001	https://csdb.dk/release/?id=6663				
130	Vibrants/JO	binary-only		Poul-Jesper Olsen (JO)						
128	CyberTracker	binary-only		Bjarke Nørgaard Laustsen (CyberBrain)	2001	https://csdb.dk/release/?id=2601				
117	David_Whittaker	reverse-eng					https://github.com/realdmx/c64_6581_sid_players/tree/master/Whittaker_David	git-repo (reverse-eng)	6502 asm (ACME)	RE driver source by composer
117	SidWinder	source		Balázs Takács (Taki)	1999 Natural Beat	https://csdb.dk/release/?id=66494	https://www.zimmers.net/anonftp/pub/cbm/c64/audio/editors/SIDwinder_V0123_src.zip	author-site	6502 asm	V01.23 source; Taki, reconstructed by Levente Harsfalvi.
108	SynC	binary-only	SYNdrom Composer	Matthias Hartung (The Syndrom)		https://csdb.dk/release/?id=7850				
107	DefMon	source		Mats (Frantic of Hack'n'Trade)	2013	https://csdb.dk/release/?id=120965	https://defmon.vandervecken.com/	binary-only	6502 asm (.d64)	Tool ships compiled only. Python driver: github.com/anarkiwi/defmon-driver (PyPI defmon-driver).
104	System6581	binary-only		Fredrik Hederstierna (Zizyphus)		https://csdb.dk/release/?id=27434				
102	Michael_Winterberg	binary-only	Speedi System	Michael Winterberg						
102	Walt/Bonzai	binary-only		Anders Fogh (Walt)	1990 Bonzai	https://csdb.dk/release/?id=12580				
99	Audial_Arts	reverse-eng	Zong Player	François Prijt	Audial Arts		https://github.com/realdmx/c64_6581_sid_players/tree/master/Audial_Arts	git-repo (reverse-eng)	6502 asm (ACME)	RE driver source by composer
99	Chubrocker_V3.x	binary-only		László Benke (Dec)	1995 Cadgers	https://csdb.dk/release/?id=114185				
97	NinjaTracker_V2.x	source		Lasse Öörni (Cadaver)	2006 Covert Bitops	https://csdb.dk/release/?id=39374	https://cadaver.github.io/tools.html	author-site	6502 asm (DASM)	Release zip bundles full editor+player /src.
94	JCH_Protracker	binary-only		Jens-Christian Huus (JCH)						
94	TBB/SideB	binary-only		Tero Hilpinen (TBB)						
92	Sosperec	binary-only		Gabor Torday (Grabowsky)	1991	https://csdb.dk/release/?id=18233				
91	Guy_Shavitt	binary-only								
